Record_ID,Product_ID,Product_Category,Sales_Date,Store_Location,Supplier,Quantity_Sold,Inventory_Level,Order_Quantity,Lead_Time_Days,Unit_Price_INR,Promotion,Sales_Value_INR,Inventory_Turnover_Proxy,Stockout_Risk_Flag,Weekly_Demand,Quantity_Sold_Normalized,Inventory_Level_Normalized,Lead_Time_Days_Normalized,Unit_Price_INR_Normalized
118,P004,Grocery,2026-02-16,Ahmedabad,Supplier A,89.0,26.0,46.0,8.0,4596.45,No,409084.05,3.423,High,58.87,0.746,0.046,0.348,0.632
119,P007,Electronics,2026-01-15,Pune,Supplier A,33.0,260.0,25.0,2.0,3211.23,Yes,105970.59,0.127,Normal,34.97,0.271,0.579,0.05,0.436
120,P007,Beauty,2026-01-20,Surat,Supplier B,40.0,48.0,218.0,21.125,4529.75,No,181190.0,0.833,Normal,34.97,0.331,0.096,1.0,0.623
121,P005,Grocery,2026-02-20,Surat,Supplier D,49.0,6.0,183.0,14.0,4138.28,No,202775.72,8.167,High,67.9,0.407,0.0,0.646,0.567
122,P005,Home,2026-02-07,Pune,Supplier D,79.0,147.0,31.0,14.0,1990.1,No,157217.9,0.537,Normal,67.9,0.661,0.321,0.646,0.262
123,P006,Electronics,2026-02-27,Nashik,Supplier D,38.0,87.0,12.0,9.0,4779.75,No,181630.5,0.437,Normal,72.6,0.314,0.185,0.398,0.658
124,P005,Grocery,2026-03-29,Ahmedabad,Supplier C,40.0,444.0,159.0,1.0,968.74,Yes,38749.6,0.09,Normal,67.9,0.331,0.998,0.0,0.118
125,P008,Beauty,2026-03-11,Pune,Supplier B,15.0,168.0,39.0,8.0,3202.12,No,48031.8,0.089,Normal,52.1,0.119,0.369,0.348,0.434
126,P004,Beauty,2026-03-30,Surat,Supplier D,28.0,143.0,14.0,12.0,982.53,No,27510.84,0.196,Normal,58.87,0.229,0.312,0.547,0.12
127,P004,Stationery,2026-01-12,Pune,Supplier A,52.0,231.0,120.0,1.0,1826.71,Yes,94988.92,0.225,Normal,58.87,0.432,0.513,0.0,0.239
128,P001,Beauty,2026-01-27,Mumbai,Supplier B,114.0,127.0,159.0,7.0,2156.52,No,245843.28,0.898,Normal,69.08,0.958,0.276,0.298,0.286
129,P005,Grocery,2026-02-04,Nagpur,Supplier C,113.0,182.0,70.0,14.0,3875.14,No,437890.82,0.621,Normal,67.9,0.949,0.401,0.646,0.53
130,P004,Stationery,2026-03-22,Mumbai,Supplier D,3.0,11.0,55.0,2.0,4650.19,Yes,13950.57,0.273,Normal,58.87,0.017,0.011,0.05,0.64
131,P001,Beauty,2026-02-11,Nagpur,Supplier A,119.0,271.0,59.0,13.0,139.42,No,16590.98,0.439,Normal,69.08,1.0,0.604,0.596,0.0
132,P003,Stationery,2026-03-25,Nashik,Supplier A,82.0,179.0,81.0,10.0,1515.64,No,124282.48,0.458,Normal,50.08,0.686,0.394,0.447,0.195
133,P003,Electronics,2026-02-04,Nashik,Supplier C,57.0,318.0,158.0,9.0,3219.14,No,183490.98,0.179,Normal,50.08,0.475,0.711,0.398,0.437
134,P007,Grocery,2026-03-05,Nashik,Supplier D,2.0,415.0,30.0,9.0,1806.44,No,3612.88,0.005,Normal,34.97,0.008,0.932,0.398,0.236
135,P004,Home,2026-03-16,Nagpur,Supplier A,111.0,122.0,222.0,12.0,2449.46,No,271890.06,0.91,Normal,58.87,0.932,0.264,0.547,0.328
136,P008,Home,2026-03-10,Surat,Supplier B,67.0,371.0,248.0,2.0,553.53,Yes,37086.51,0.181,Normal,52.1,0.559,0.831,0.05,0.059
137,P008,Electronics,2026-03-09,Pune,Supplier B,115.0,403.0,88.0,6.0,1653.75,No,190181.25,0.285,Normal,52.1,0.966,0.904,0.248,0.215
138,P006,Stationery,2026-01-05,Ahmedabad,Supplier B,112.0,12.0,76.0,12.0,4952.66,No,554697.92,9.333,High,72.6,0.941,0.014,0.547,0.682
139,P003,Beauty,2026-01-08,Pune,Supplier D,31.0,324.0,57.0,10.0,883.44,No,27386.64,0.096,Normal,50.08,0.254,0.724,0.447,0.105
140,P008,Grocery,2026-02-28,Ahmedabad,Supplier B,74.0,226.0,18.0,13.0,1553.73,No,114976.02,0.327,Normal,52.1,0.619,0.501,0.596,0.201
141,P004,Electronics,2026-01-03,Pune,Supplier A,88.0,419.0,81.0,2.0,921.12,No,81058.56,0.21,Normal,58.87,0.737,0.941,0.05,0.111
142,P006,Stationery,2026-02-09,Surat,Supplier B,113.0,111.0,32.0,2.0,1701.24,No,192240.12,1.018,High,72.6,0.949,0.239,0.05,0.221
143,P005,Grocery,2026-02-26,Nagpur,Supplier B,69.0,178.0,176.0,13.0,1885.38,Yes,130091.22,0.388,Normal,67.9,0.576,0.392,0.596,0.248
144,P005,Electronics,2026-03-16,Surat,Supplier C,46.0,349.0,23.0,10.0,4318.41,Yes,198646.86,0.132,Normal,67.9,0.381,0.781,0.447,0.593
145,P008,Home,2026-03-14,Nashik,Supplier D,45.0,49.0,23.0,7.0,2790.18,No,125558.1,0.918,Normal,52.1,0.373,0.098,0.298,0.376
146,P006,Stationery,2026-01-05,Nagpur,Supplier D,101.0,205.0,162.0,4.0,2422.37,No,244659.37,0.493,Normal,72.6,0.847,0.453,0.149,0.324
147,P001,Stationery,2026-01-01,Surat,Supplier D,31.0,445.0,24.0,12.0,1302.6,Yes,40380.6,0.07,Normal,69.08,0.254,1.0,0.547,0.165
148,P007,Stationery,2026-02-22,Surat,Supplier C,81.0,381.0,90.0,11.0,1978.73,Yes,160277.13,0.213,Normal,34.97,0.678,0.854,0.497,0.261
149,P007,Stationery,2026-03-29,Mumbai,Supplier D,70.0,222.0,16.0,7.0,289.37,Yes,20255.9,0.315,Normal,34.97,0.585,0.492,0.298,0.021
150,P006,Beauty,2026-01-21,Mumbai,Supplier C,53.0,36.0,166.0,14.0,641.4,No,33994.2,1.472,High,72.6,0.441,0.068,0.646,0.071
