Record_ID,Product_ID,Product_Category,Sales_Date,Store_Location,Supplier,Quantity_Sold,Inventory_Level,Order_Quantity,Lead_Time_Days,Unit_Price_INR,Promotion
45,P001,Beauty,2026-03-26,Ahmedabad,Supplier C,,420.0,173,12.0,3070.82,No
46,P002,Beauty,2026-02-03,Nagpur,Supplier B,101.0,319.0,78,5.0,2242.28,No
47,P007,Home,2026-01-22,Mumbai,Supplier B,34.0,333.0,36,8.0,3186.17,No
48,P007,Stationery,2026-03-08,Ahmedabad,Supplier B,10.0,427.0,183,4.0,3271.5,Yes
49,P005,Electronics,2026-01-12,Ahmedabad,Supplier A,94.0,182.0,27,11.0,1286.11,No
50,P007,Beauty,2026-02-17,Ahmedabad,Supplier B,79.0,243.0,61,10.0,1337.78,Yes
51,P002,Electronics,2026-01-12,Mumbai,Supplier C,67.0,389.0,178,7.0,4624.84,No
52,P008,Grocery,2026-02-06,Mumbai,Supplier B,74.0,292.0,95,7.0,2929.42,No
53,P004,Electronics,2026-03-14,Nashik,Supplier B,76.0,-20.0,206,14.0,3243.58,Yes
54,P004,Stationery,2026-02-13,Surat,Supplier D,119.0,101.0,220,11.0,1885.85,No
55,P001,Beauty,2026-03-13,Nagpur,Supplier C,66.0,12.0,235,6.0,1604.25,Yes
56,P004,Grocery,2026-02-23,Mumbai,Supplier B,99.0,261.0,13,10.0,,No
57,P001,Home,2026-01-08,Ahmedabad,Supplier C,64.0,320.0,201,12.0,1143.27,No
58,P002,Electronics,2026-01-22,Nagpur,Supplier A,82.0,163.0,88,3.0,3574.21,Yes
59,P001,Home,2026-01-20,Nashik,Supplier C,6.0,255.0,13,8.0,2288.77,Yes
60,P001,Electronics,2026-03-28,Surat,Supplier B,112.0,437.0,59,8.0,4738.43,No
61,P007,Home,2026-02-15,Ahmedabad,Supplier C,60.0,409.0,144,7.0,3521.22,No
62,P008,Grocery,2026-02-20,Pune,Supplier D,39.0,197.0,96,12.0,4379.92,Yes
63,P006,Grocery,2026-03-23,Surat,Supplier B,96.0,320.0,231,4.0,4576.75,No
64,P005,Beauty,2026-02-03,Pune,Supplier C,51.0,237.0,193,3.0,3153.05,Yes
65,P005,Grocery,2026-01-09,Ahmedabad,Supplier A,15.0,263.0,209,1.0,4675.59,yes
66,P005,Electronics,2026-03-21,Pune,Supplier D,119.0,203.0,75,13.0,2815.27,No
67,P008,Electronics,2026-03-16,Pune,Supplier C,82.0,167.0,87,13.0,1567.65,No
68,P008,Grocery,2026-01-19,Nashik,Supplier B,87.0,373.0,191,11.0,4262.33,Yes
69,P003,Grocery,2026-03-01,Surat,Supplier B,17.0,182.0,93,5.0,3593.41,No
70,P002,Grocery,2026-03-23,Nagpur,Supplier B,113.0,82.0,112,12.0,1789.22,No
71,P004,Beauty,2026-01-01,Mumbai,Supplier A,6.0,370.0,206,10.0,3346.33,No
72,P001,Home,2026-03-14,Surat,Supplier A,114.0,251.0,67,4.0,3766.12,No
73,P006,Electronics,2026-01-14,Pune,Supplier D,40.0,33.0,218,1.0,1009.63,No
74,P008,Home,2026-01-25,Ahmedabad,Supplier D,85.0,,46,2.0,1297.67,No
75,P008,Home,2026-01-13,Surat,Supplier A,3.0,195.0,85,1.0,2563.07,No
76,P005,Stationery,2026-02-19,Mumbai,Supplier B,23.0,308.0,221,13.0,1964.18,No
77,P008,Home,2026-03-09,Nashik,Supplier A,5.0,153.0,210,12.0,3003.45,No
78,P001,Beauty,2026-03-23,Nashik,Supplier A,111.0,150.0,73,14.0,50000.0,Yes
79,P006,Stationery,2026-03-17,Surat,Supplier A,98.0,300.0,108,4.0,4592.07,No
80,P005,Electronics,2026-01-02,Nagpur,Supplier B,104.0,343.0,89,3.0,4334.89,No
81,P004,Grocery,2026-02-07,Pune,Supplier C,52.0,92.0,198,1.0,2842.97,No
82,P002,Stationery,2026-02-07,Mumbai,Supplier D,97.0,19.0,114,14.0,4154.2,No
83,P004,Grocery,2026-02-24,Mumbai,Supplier B,89.0,21.0,164,6.0,1798.3,Yes
84,P004,Stationery,2026-03-15,Ahmedabad,Supplier C,50.0,150.0,141,9.0,2955.13,Yes
85,P004,Beauty,2026-03-25,Mumbai,Supplier B,55.0,140.0,163,4.0,1873.51,Yes
86,P002,Home,2026-02-13,Nashik,Supplier C,11.0,322.0,230,10.0,4683.89,No
87,P004,Stationery,2026-02-20,Pune,Supplier C,17.0,332.0,140,3.0,3162.0,No
88,P004,Grocery,2026-03-26,Pune,Supplier D,42.0,247.0,171,5.0,3624.77,No
89,P005,Electronics,2026-03-08,mumbai ,Supplier B,97.0,40.0,115,11.0,4488.87,No
90,P004,Home,2026-01-09,Nashik,Supplier D,116.0,373.0,117,12.0,2292.58,No
91,P002,Stationery,2026-03-04,Mumbai,Supplier D,44.0,410.0,232,10.0,3129.03,No
92,P004,Electronics,2026-03-26,Surat,Supplier A,,354.0,73,6.0,3926.93,No
93,P007,Electronics,2026-02-27,Ahmedabad,Supplier C,20.0,163.0,96,2.0,344.13,Yes
94,P002,Stationery,2026-02-18,Pune,Supplier A,19.0,78.0,35,8.0,4147.49,No
95,P006,Grocery,2026-03-16,Nashik,Supplier D,45.0,190.0,51,7.0,1889.27,Yes
96,P002,Electronics,2026-02-02,Nashik,Supplier D,83.0,50.0,96,7.0,1364.35,No
97,P006,Home,2026-03-08,Ahmedabad,Supplier D,58.0,445.0,245,13.0,2115.95,No
98,P002,Electronics,2026-01-23,Ahmedabad,Supplier A,1.0,373.0,145,12.0,451.45,No
99,P008,Beauty,2026-03-09,Ahmedabad,Supplier D,13.0,142.0,34,4.0,4921.13,No
100,P008,Electronics,2026-02-11,Nagpur,Supplier D,46.0,134.0,233,14.0,2481.31,No
101,P003,Grocery,2026-01-29,Pune,Supplier D,22.0,409.0,71,10.0,2789.54,No
102,P004,Beauty,2026-02-23,Surat,Supplier D,17.0,21.0,84,10.0,903.76,No
103,P003,Home,2026-03-21,Pune,Supplier A,47.0,148.0,217,,1718.83,No
104,P003,Electronics,2026-02-15,Mumbai,Supplier A,92.0,111.0,68,10.0,3226.93,No
105,P006,Electronics,2026-03-15,Pune,Supplier C,61.0,223.0,249,9.0,4478.0,No
106,P008,Stationery,2026-02-11,Mumbai,Supplier D,83.0,126.0,41,9.0,4774.02,Yes
107,P004,Stationery,2026-02-06,Nashik,Supplier B,16.0,40.0,136,7.0,4955.62,Yes
108,P004,Beauty,2026-02-10,Ahmedabad,Supplier A,107.0,24.0,163,5.0,1114.36,No
109,P003,Grocery,2026-01-13,Nashik,Supplier A,93.0,74.0,96,8.0,2250.79,No
110,P008,Home,2026-02-06,Nagpur,Supplier C,20.0,338.0,46,5.0,3845.83,No
111,P001,Stationery,2026-03-28,Pune,Supplier D,75.0,71.0,96,9.0,1236.06,No
112,P005,Electronics,2026-03-11,Ahmedabad,Supplier A,112.0,237.0,105,1.0,491.78,No
113,P006,Stationery,2026-03-01,Mumbai,Supplier C,118.0,299.0,104,1.0,2740.07,No
114,P004,Home,2026-03-21,Nagpur,Supplier B,45.0,36.0,206,10.0,4951.88,Yes
115,P002,Home,2026-01-04,Surat,Supplier B,108.0,16.0,207,4.0,3932.24,No
116,P002,Electronics,2026-02-07,Nagpur,Supplier B,90.0,219.0,193,6.0,2552.51,No
117,P005,Beauty,2026-03-28,Nagpur,Supplier D,65.0,324.0,166,6.0,2077.44,No
118,P004,Grocery,2026-02-16,Ahmedabad,Supplier A,89.0,26.0,46,8.0,4596.45,No
119,P007,Electronics,2026-01-15,Pune,Supplier A,33.0,260.0,25,2.0,3211.23,Yes
120,P007,Beauty,2026-01-20,Surat,Supplier B,40.0,48.0,218,60.0,4529.75,No
121,P005,Grocery,2026-02-20,Surat,Supplier D,49.0,6.0,183,14.0,4138.28,No
122,P005,Home,2026-02-07,Pune,Supplier D,79.0,147.0,31,14.0,1990.1,No
123,P006,Electronics,2026-02-27,Nashik,Supplier D,38.0,87.0,12,9.0,4779.75,No
124,P005,Grocery,2026-03-29,Ahmedabad,Supplier C,40.0,444.0,159,1.0,968.74,Yes
125,P008,Beauty,2026-03-11,Pune,Supplier B,15.0,168.0,39,8.0,3202.12,No
126,P004,Beauty,2026-03-30,Surat,Supplier D,28.0,143.0,14,12.0,982.53,No
127,P004,Stationery,2026-01-12,Pune,Supplier A,52.0,231.0,120,1.0,1826.71,Yes
128,P001,Beauty,2026-01-27,Mumbai,Supplier B,114.0,127.0,159,7.0,2156.52,No
129,P005,Grocery,2026-02-04,Nagpur,Supplier C,113.0,182.0,70,14.0,3875.14,No
130,P004,Stationery,2026-03-22,Mumbai,Supplier D,3.0,11.0,55,2.0,4650.19,Yes
131,P001,Beauty,2026-02-11,Nagpur,Supplier A,119.0,271.0,59,13.0,139.42,No
132,P003,Stationery,2026-03-25,Nashik,Supplier A,82.0,179.0,81,10.0,1515.64,No
133,P003,Electronics,2026-02-04,Nashik,Supplier C,57.0,318.0,158,9.0,3219.14,No
134,P007,Grocery,2026-03-05,Nashik,Supplier D,2.0,415.0,30,9.0,1806.44,No
135,P004,Home,2026-03-16,Nagpur,Supplier A,111.0,122.0,222,12.0,2449.46,No
136,P008,Home,2026-03-10,Surat,Supplier B,67.0,371.0,248,2.0,553.53,Yes
137,P008,Electronics,2026-03-09,Pune,Supplier B,115.0,403.0,88,6.0,1653.75,No
138,P006,Stationery,2026-01-05,Ahmedabad,Supplier B,112.0,12.0,76,12.0,4952.66,No
139,P003,Beauty,2026-01-08,Pune,Supplier D,31.0,324.0,57,10.0,883.44,No
140,P008,Grocery,2026-02-28,Ahmedabad,Supplier B,74.0,226.0,18,13.0,1553.73,No
141,P004,Electronics,2026-01-03,Pune,Supplier A,88.0,419.0,81,2.0,921.12,No
142,P006,Stationery,2026-02-09,Surat,Supplier B,113.0,111.0,32,2.0,1701.24,No
143,P005,Grocery,2026-02-26,Nagpur,Supplier B,69.0,178.0,176,13.0,1885.38,Yes
144,P005,Electronics,2026-03-16,Surat,Supplier C,46.0,349.0,23,10.0,4318.41,Yes
145,P008,Home,2026-03-14,Nashik,Supplier D,45.0,49.0,23,7.0,2790.18,No
146,P006,Stationery,2026-01-05,Nagpur,Supplier D,101.0,205.0,162,4.0,2422.37,No
147,P001,Stationery,2026-01-01,Surat,Supplier D,31.0,445.0,24,12.0,1302.6,Yes
148,P007,Stationery,2026-02-22,Surat,Supplier C,81.0,381.0,90,11.0,1978.73,Yes
149,P007,Stationery,2026-03-29,Mumbai,Supplier D,70.0,222.0,16,7.0,289.37,Yes
150,P006,Beauty,2026-01-21,Mumbai,Supplier C,53.0,36.0,166,14.0,641.4,No
13,P001,Stationery,2026-01-17,Pune,Supplier C,97.0,315.0,58,14.0,1142.3,No
36,P001,Stationery,2026-01-10,Pune,Supplier D,12.0,89.0,240,12.0,2273.9,Yes
